id,product_name,brand,price,reviews_count,avg_rate
1,Nokia 106 - 1.8-inch Dual SIM Mobile Phone - Dark Grey,Nokia,EGP 419.00,7 verified ratings,4.4/5
2,Dettol Skin Care Soap - 85g,Dettol,EGP 7.95,228 verified ratings,4.5/5
3,Rexona Antibacterial Invisible Antiperspirant Deodorant for Men - 150Ml - 2 Pcs+ 1 Free,Rexona,EGP 114.45,135 verified ratings,4.5/5
4,Crystal Corn Oil - 2.2 Liters,Crystal,EGP 115.00,143 verified ratings,4.6/5
5,Bonjorno 2in1 Coffee Mix Khamsina – 12 Sachet,Bonjorno,EGP 15.50,33 verified ratings,4.1/5
6,Bundle Of (15) Women Ankle Socks For Women,(4430 verified ratings),EGP 54.00 - EGP 69.00,4430 verified ratings,3.8/5
7,Activ Matching Sole & Side Strips Lace Up Sneakers - White & Navy,Activ,EGP 329.00,34 verified ratings,4.8/5
8,Ariel Powder Touch of Downy Detergent 7 Kilogram,Ariel,EGP 320.85,78 verified ratings,4.6/5
9,NIVEA MEN Fresh Active Deodorant Spray - For Men - 150ml,NIVEA MEN,EGP 44.00,952 verified ratings,4.4/5
10,NIVEA MEN Invisible Black & White Original Antiperspirant Deodorant Spray - For Men - 150ml,NIVEA MEN,EGP 46.00,865 verified ratings,4.4/5
11,Fern Pure Natural Butter Ghee - 1.4Kg,Fern,EGP 314.00,44 verified ratings,4.7/5
12,Set Of ( 6 ) Pairs Invisible Socks,(1831 verified ratings),EGP 38.00 - EGP 48.00,1831 verified ratings,3.9/5
13,AM-Shop Bundle Of (10) Basic Socks Sign - High Quality,AM-Shop,EGP 59.00,881 verified ratings,3.6/5
14,Karimed Brilliant Touch Shower Gel 1000ML 4Pcs. 4 Scents,Karimed,EGP 129.00,39 verified ratings,4.5/5
15,L'Oreal Paris Hyaluron Expert Replumping Gel Wash For All Skin Types,L'Oreal Paris,EGP 84.50,2 verified ratings,5/5
16,Bundle OF ( 12 ) Cat Women Socks,(647 verified ratings),EGP 59.00,647 verified ratings,3.9/5
17,ABC Egypt Alfa Automatic Powder Detergent - 8+1 Free Kg,ABC Egypt,EGP 220.00,167 verified ratings,3.9/5
18,Embrator Bundle Of Three Soft Breathable Sleeveless Undershirts - White,Embrator,EGP 129.99,955 verified ratings,4.4/5
19,Durex Condoms Set - Strawberry - 3 Pcs,Durex,EGP 22.61,1069 verified ratings,4.2/5
20,Luna Super Emollient Moisturizing Cream Kit - 4 Pcs,Luna,EGP 108.00,6044 verified ratings,4.3/5
21,Maybelline New York Volum' Express The Colossal Mascara - 100% Black,Maybelline New York,EGP 110.00,1866 verified ratings,4.2/5
22,AM-Shop Bundle OF (4) Socks,AM-Shop,EGP 29.00,1355 verified ratings,3.4/5
23,Grouhy GH252B Exhaust Ventilation Fan - 25 Cm - Brown,Grouhy,EGP 275.00,15 verified ratings,3.8/5
24,Bundle Of (6) Half Towel Socks Colours,(745 verified ratings),EGP 49.00,745 verified ratings,3.8/5
25,"Ariel Anti-Bacterial Automatic Powder Detergent, 7 KG",Ariel,EGP 281.75,29 verified ratings,4.8/5
26,Maxtella Chocolate Hazelnut Spread - 950 Gm,Maxtella,EGP 70.00,632 verified ratings,4.3/5
27,American Eagle Slim Flex Polo Shirt,American Eagle,EGP 225.00,274 verified ratings,4.6/5
28,Chefy Mix Tomato Ketchup - 1kg,Chefy Mix,EGP 26.50,816 verified ratings,4.3/5
29,Dice Bundle Of Five Men Boxers,Dice,EGP 199.00 - EGP 209.99,952 verified ratings,4.4/5
30,"NIVEA MEN Fresh Power, Antiperspirant for Men, Fresh Scent, Roll-on - 50ml",NIVEA,EGP 26.00,169 verified ratings,4.4/5
31,Sensodyne Multi Care + Whitening Toothpaste For Sensitive Teeth - 100ml - Buy 2 Get 1 Free,Sensodyne,EGP 118.00,37 verified ratings,4.8/5
32,Nescafe Classic Instant Coffee - 1.8g - 25 Pcs,Nescafe,EGP 32.02,50 verified ratings,4.7/5
33,Bundle Of (10) Basic Socks - High Quality,(1226 verified ratings),EGP 37.00 - EGP 56.00,1226 verified ratings,3.6/5
34,Aldoha Flour – 1Kg,Aldoha,EGP 20.45,384 verified ratings,4.6/5
35,Bundle Of (12) Invisible Socks - For Men,(153 verified ratings),EGP 61.00,153 verified ratings,3.9/5
36,Dice Bundle OF Six Men Boxers,Dice,EGP 249.99,4367 verified ratings,4.3/5
37,Dice Bundle Of Six Comfy Slip On Regular Boxers,Dice,EGP 249.99,7742 verified ratings,4.3/5
38,VGR Professional Rechargeable Hair Trimmer Led Display,VGR,EGP 255.00,518 verified ratings,4.3/5
39,Almarai Skimmed Plastic Bottle Milk-1.5 L,Almarai,EGP 28.80,24 verified ratings,4.9/5
40,NIVEA Fresh Cherry Deodorant For Women Spray - 150 ml,NIVEA,EGP 44.00,440 verified ratings,4.4/5
41,Five Stars All Purpose Flour - 1 kg,Five Stars,EGP 20.06,520 verified ratings,4.6/5
42,Mesery Bundle OF Six Brief Smooth Cotton Panties,Mesery,EGP 139.99,3681 verified ratings,4.2/5
43,Ariel Liquid lavender detergent 3.3 Kilogram,Ariel,EGP 147.45,79 verified ratings,4.6/5
44,Brand Stores Shoulder &Backpack Bag -Brand Stores-White & Black,Brand Stores,EGP 59.00,140 verified ratings,4.1/5
45,"Iku S1 Mini, 1.8 Inches Display - 600 MAh Battery-Grey",Iku,EGP 499.00,2 verified ratings,4.5/5
46,Dice Bundle OF Three Mens Boxer Brief,Dice,EGP 129.99,370 verified ratings,4.2/5
47,Alsuhagy White Flour – 1 Kg,Alsuhagy,EGP 16.00,375 verified ratings,4.6/5
48,Italiano Ziti Pasta - 400g,Italiano,EGP 9.95,278 verified ratings,4.5/5
49,(12) Socks For Men From Soft Cotton.,(655 verified ratings),EGP 58.00 - EGP 88.00,655 verified ratings,4/5
50,"Set Of Bases For Installing The Washing Machine, A Box Of 4 Pcs",(476 verified ratings),EGP 20.00,476 verified ratings,4.1/5
51,Karimed Keraview Keratin Shampoo + Conditioner Argan Oil For Damaged Hair350ml,Karimed,EGP 45.00,25 verified ratings,4/5
52,Camay Soap Delicieux - 120gm,Camay,EGP 6.95,61 verified ratings,4.6/5
53,Karimed SNOW SHINE Micellar Water Makeup Remover Rose 100ML,Karimed,EGP 20.00,246 verified ratings,4.3/5
54,FEATHER Flamingo Razor - S (Face & Body) Safety Razor Tech,FEATHER,EGP 139.00,425 verified ratings,4.4/5
55,Bundle Of (6) Basic Socks - High Quality.,(50 verified ratings),EGP 36.00,50 verified ratings,3.7/5
56,NIVEA MEN Silver Protect Deodorant Spray for Men - 150ml,NIVEA MEN,EGP 44.00,389 verified ratings,4.4/5
57,L'oreal Elvive Dream Long Straight 72H - Straightening Keratin Shampoo 200 Ml,L'oreal,EGP 37.00,90 verified ratings,4.5/5
58,American Eagle Low Cut Socks 5-Pack,American Eagle,EGP 175.00,152 verified ratings,4.6/5
59,Crystal Sunflower Oil - 2.2 Liters,Crystal,EGP 101.90,167 verified ratings,4.5/5
